,Team
0,Boston Celtics
1,Denver Nuggets
2,Golden State Warriors
3,Milwaukee Bucks
4,Los Angeles Lakers
5,Toronto Raptors
6,Golden State Warriors
7,Golden State Warriors
8,Cleveland Cavaliers
9,Golden State Warriors
10,San Antonio Spurs
11,Miami Heat
12,Miami Heat
13,Dallas Mavericks
14,Los Angeles Lakers
15,Los Angeles Lakers
16,Boston Celtics
17,San Antonio Spurs
18,Miami Heat
19,San Antonio Spurs
20,Detroit Pistons
21,San Antonio Spurs
22,Los Angeles Lakers
23,Los Angeles Lakers
24,Los Angeles Lakers
25,San Antonio Spurs
26,Chicago Bulls
27,Chicago Bulls
28,Chicago Bulls
29,Houston Rockets
30,Houston Rockets
31,Chicago Bulls
32,Chicago Bulls
33,Chicago Bulls
34,Detroit Pistons
35,Detroit Pistons
36,Los Angeles Lakers
37,Los Angeles Lakers
38,Boston Celtics
39,Los Angeles Lakers
40,Boston Celtics
41,Philadelphia 76ers
42,Los Angeles Lakers
43,Boston Celtics
44,Los Angeles Lakers
45,Seattle SuperSonics
46,Washington Bullets
47,Portland Trail Blazers
48,Boston Celtics
49,Golden State Warriors
50,Boston Celtics
51,New York Knicks
52,Los Angeles Lakers
53,Milwaukee Bucks
54,New York Knicks
55,Boston Celtics
