,Yr,Lg,Series,Unnamed: 3_level_1,Team,W,Team,W,url
0,2024,NBA,Finals,"Jun 6 - Jun 17, 2024",Boston Celtics (1),4,Dallas Mavericks (5),1,https://www.basketball-reference.com/playoffs/2024-nba-finals-mavericks-vs-celtics.html
1,2023,NBA,Finals,"Jun 1 - Jun 12, 2023",Denver Nuggets (1),4,Miami Heat (8),1,https://www.basketball-reference.com/playoffs/2023-nba-finals-heat-vs-nuggets.html
2,2022,NBA,Finals,"Jun 2 - Jun 16, 2022",Golden State Warriors (3),4,Boston Celtics (2),2,https://www.basketball-reference.com/playoffs/2022-nba-finals-celtics-vs-warriors.html
3,2021,NBA,Finals,"Jul 6 - Jul 20, 2021",Milwaukee Bucks (3),4,Phoenix Suns (2),2,https://www.basketball-reference.com/playoffs/2021-nba-finals-bucks-vs-suns.html
4,2020,NBA,Finals,"Sep 30 - Oct 11, 2020",Los Angeles Lakers (1),4,Miami Heat (5),2,https://www.basketball-reference.com/playoffs/2020-nba-finals-heat-vs-lakers.html
5,2019,NBA,Finals,"May 30 - Jun 13, 2019",Toronto Raptors (2),4,Golden State Warriors (1),2,https://www.basketball-reference.com/playoffs/2019-nba-finals-warriors-vs-raptors.html
6,2018,NBA,Finals,"May 31 - Jun 8, 2018",Golden State Warriors (2),4,Cleveland Cavaliers (4),0,https://www.basketball-reference.com/playoffs/2018-nba-finals-cavaliers-vs-warriors.html
7,2017,NBA,Finals,"Jun 1 - Jun 12, 2017",Golden State Warriors (1),4,Cleveland Cavaliers (2),1,https://www.basketball-reference.com/playoffs/2017-nba-finals-cavaliers-vs-warriors.html
8,2016,NBA,Finals,"Jun 2 - Jun 19, 2016",Cleveland Cavaliers (1),4,Golden State Warriors (1),3,https://www.basketball-reference.com/playoffs/2016-nba-finals-cavaliers-vs-warriors.html
9,2015,NBA,Finals,"Jun 4 - Jun 16, 2015",Golden State Warriors (1),4,Cleveland Cavaliers (2),2,https://www.basketball-reference.com/playoffs/2015-nba-finals-cavaliers-vs-warriors.html
10,2014,NBA,Finals,"Jun 5 - Jun 15, 2014",San Antonio Spurs (1),4,Miami Heat (2),1,https://www.basketball-reference.com/playoffs/2014-nba-finals-heat-vs-spurs.html
11,2013,NBA,Finals,"Jun 6 - Jun 20, 2013",Miami Heat (1),4,San Antonio Spurs (2),3,https://www.basketball-reference.com/playoffs/2013-nba-finals-spurs-vs-heat.html
12,2012,NBA,Finals,"Jun 12 - Jun 21, 2012",Miami Heat (2),4,Oklahoma City Thunder (2),1,https://www.basketball-reference.com/playoffs/2012-nba-finals-heat-vs-thunder.html
13,2011,NBA,Finals,"May 31 - Jun 12, 2011",Dallas Mavericks (3),4,Miami Heat (2),2,https://www.basketball-reference.com/playoffs/2011-nba-finals-mavericks-vs-heat.html
14,2010,NBA,Finals,"Jun 3 - Jun 17, 2010",Los Angeles Lakers (1),4,Boston Celtics (4),3,https://www.basketball-reference.com/playoffs/2010-nba-finals-celtics-vs-lakers.html
15,2009,NBA,Finals,"Jun 4 - Jun 14, 2009",Los Angeles Lakers (1),4,Orlando Magic (3),1,https://www.basketball-reference.com/playoffs/2009-nba-finals-magic-vs-lakers.html
16,2008,NBA,Finals,"Jun 5 - Jun 17, 2008",Boston Celtics (1),4,Los Angeles Lakers (1),2,https://www.basketball-reference.com/playoffs/2008-nba-finals-lakers-vs-celtics.html
17,2007,NBA,Finals,"Jun 7 - Jun 14, 2007",San Antonio Spurs (3),4,Cleveland Cavaliers (2),0,https://www.basketball-reference.com/playoffs/2007-nba-finals-cavaliers-vs-spurs.html
18,2006,NBA,Finals,"Jun 8 - Jun 20, 2006",Miami Heat (2),4,Dallas Mavericks (4),2,https://www.basketball-reference.com/playoffs/2006-nba-finals-heat-vs-mavericks.html
19,2005,NBA,Finals,"Jun 9 - Jun 23, 2005",San Antonio Spurs (2),4,Detroit Pistons (2),3,https://www.basketball-reference.com/playoffs/2005-nba-finals-pistons-vs-spurs.html
20,2004,NBA,Finals,"Jun 6 - Jun 15, 2004",Detroit Pistons (3),4,Los Angeles Lakers (2),1,https://www.basketball-reference.com/playoffs/2004-nba-finals-pistons-vs-lakers.html
21,2003,NBA,Finals,"Jun 4 - Jun 15, 2003",San Antonio Spurs (1),4,New Jersey Nets (2),2,https://www.basketball-reference.com/playoffs/2003-nba-finals-nets-vs-spurs.html
22,2002,NBA,Finals,"Jun 5 - Jun 12, 2002",Los Angeles Lakers (3),4,New Jersey Nets (1),0,https://www.basketball-reference.com/playoffs/2002-nba-finals-nets-vs-lakers.html
23,2001,NBA,Finals,"Jun 6 - Jun 15, 2001",Los Angeles Lakers (2),4,Philadelphia 76ers (1),1,https://www.basketball-reference.com/playoffs/2001-nba-finals-76ers-vs-lakers.html
