,Year,Player,mvp,G!,MP!,FG!,3P!,FT!,ORB!,DRB!,TRB!,AST!,STL!,BLK!,TOV!,PF!,PTS!,FG%!,3P%!,FT%!
0,2024,Jayson Tatum,False,1,1,1,3,1,5,1,1,1,4,4,8,5,1,7,5,4
1,2024,Jaylen Brown,True,1,2,2,4,2,5,4,4,2,1,3,7,8,2,5,6,6
2,2024,Jrue Holiday,False,1,3,3,4,5,1,3,2,3,5,4,6,7,3,2,3,1
3,2024,Derrick White,False,1,4,4,1,3,2,5,5,4,2,1,5,5,4,6,4,1
4,2024,Sam Hauser,False,1,6,5,2,6,3,7,6,7,6,7,1,3,5,4,1,1
5,2024,Kristaps Porzingis,False,8,8,5,8,4,8,6,7,8,8,1,2,1,6,1,7,5
6,2024,Al Horford,False,1,5,7,4,7,3,2,3,4,2,4,3,4,7,3,2,7
7,2024,Payton Pritchard,False,1,7,8,7,8,7,8,8,6,6,7,3,2,8,8,8,8
8,2023,Nikola Jokic,True,1,2,1,2,1,1,1,1,2,5,1,7,8,1,4,3,3
9,2023,Jamal Murray,False,1,1,2,1,2,4,4,4,1,2,7,7,5,2,6,4,2
10,2023,Aaron Gordon,False,1,3,3,4,5,1,3,3,3,5,4,3,7,3,3,2,8
11,2023,Bruce Brown,False,1,6,4,3,4,4,5,5,6,2,3,6,4,4,5,5,6
12,2023,Michael Porter Jr.,False,1,5,5,6,6,3,2,2,7,8,5,1,1,5,8,7,5
13,2023,Kentavious Caldwell-Pope,False,1,4,7,4,3,6,6,6,4,1,2,5,6,6,7,6,4
14,2023,Christian Braun,False,1,7,6,8,8,6,7,7,5,2,5,3,1,7,2,8,7
15,2023,Jeff Green,False,1,8,8,7,6,8,8,8,8,7,7,1,1,8,1,1,1
16,2022,Stephen Curry,True,1,3,1,1,1,5,2,4,2,1,6,7,7,1,4,2,5
17,2022,Andrew Wiggins,False,1,1,2,4,4,3,1,1,4,3,1,5,3,2,5,5,7
18,2022,Klay Thompson,False,1,2,3,2,2,5,5,5,5,4,4,3,3,3,7,4,1
19,2022,Jordan Poole,False,1,6,4,3,2,8,7,8,6,8,6,6,2,4,6,3,4
20,2022,Draymond Green,False,1,4,5,6,5,2,2,2,1,2,3,7,8,5,8,7,8
21,2022,Gary Payton II,False,8,8,7,6,5,4,6,6,7,4,5,1,3,6,2,6,6
22,2022,Otto Porter Jr.,False,1,7,8,5,7,5,7,7,8,6,6,1,1,7,3,1,1
23,2022,Kevon Looney,False,1,5,5,8,7,1,4,3,3,7,2,4,6,8,1,8,1
24,2021,Giannis Antetokounmpo,True,1,3,1,7,1,1,1,1,3,3,1,7,7,1,1,8,5
25,2021,Khris Middleton,False,1,1,2,1,2,7,2,2,2,2,5,8,5,2,5,4,3
26,2021,Jrue Holiday,False,1,2,3,3,3,6,3,3,1,1,2,6,3,3,7,6,2
27,2021,Brook Lopez,False,1,6,4,5,4,3,5,5,6,5,2,5,4,4,3,7,4
28,2021,Pat Connaughton,False,1,5,5,2,6,4,4,4,4,7,5,4,5,5,4,2,6
29,2021,Bobby Portis,False,1,7,6,4,5,4,6,6,6,5,4,1,2,6,6,3,1
30,2021,P.J. Tucker,False,1,4,7,6,7,2,7,7,4,4,5,3,8,7,2,1,7
31,2021,Bryn Forbes,False,8,8,8,7,7,8,8,8,8,7,5,1,1,8,8,5,7
32,2020,LeBron James,True,1,1,1,1,2,2,1,1,1,2,3,8,4,1,1,2,8
33,2020,Anthony Davis,False,1,2,2,6,1,1,2,2,3,1,1,7,8,2,2,1,2
34,2020,Kentavious Caldwell-Pope,False,1,3,3,2,3,7,5,5,5,3,4,1,6,3,5,7,4
35,2020,Rajon Rondo,False,1,4,4,7,5,4,3,3,2,3,7,6,1,4,4,5,3
36,2020,Kyle Kuzma,False,1,7,5,5,4,4,7,5,8,7,4,4,5,5,7,6,6
37,2020,Danny Green,False,1,6,6,4,8,7,5,5,6,3,2,2,1,6,8,8,1
38,2020,Markieff Morris,False,1,8,7,3,7,6,4,4,6,8,7,3,6,6,6,3,5
39,2020,Alex Caruso,False,1,5,8,8,6,3,8,8,4,6,4,5,1,8,3,4,7
40,2019,Kawhi Leonard,True,1,1,1,2,1,1,1,1,2,1,2,8,4,1,5,4,3
41,2019,Pascal Siakam,False,1,2,1,6,3,2,3,2,3,6,3,6,2,2,2,7,7
42,2019,Kyle Lowry,False,1,3,3,3,4,7,4,5,1,2,4,7,8,3,6,2,5
43,2019,Fred VanVleet,False,1,4,4,1,5,6,7,7,5,3,7,2,3,4,4,1,4
44,2019,Marc Gasol,False,1,5,6,5,2,5,2,3,4,6,6,3,7,5,3,6,2
45,2019,Serge Ibaka,False,1,7,4,7,6,3,5,4,7,5,1,4,6,6,1,5,6
46,2019,Danny Green,False,1,6,7,4,8,4,6,6,6,3,4,4,4,7,7,3,8
47,2019,Norman Powell,False,1,8,8,8,7,8,8,8,8,8,7,1,1,8,8,8,1
48,2018,Kevin Durant,True,1,1,1,3,1,5,1,1,2,3,1,7,6,1,5,4,4
49,2018,Stephen Curry,False,1,3,2,1,2,4,2,2,3,2,4,8,5,2,8,3,1
50,2018,Klay Thompson,False,1,4,3,2,3,8,4,4,5,5,7,5,6,3,7,2,5
51,2018,Draymond Green,False,1,1,5,4,3,1,3,2,1,1,2,5,8,4,6,5,5
52,2018,JaVale McGee,False,1,6,4,6,8,1,7,7,8,8,3,2,2,5,2,6,8
53,2018,Shaun Livingston,False,1,5,6,6,3,6,5,6,4,6,8,2,4,6,1,6,1
54,2018,Jordan Bell,False,1,7,7,6,6,1,6,5,5,6,5,1,1,7,3,6,7
55,2018,Andre Iguodala,False,8,8,8,4,7,6,8,8,7,3,5,2,2,8,4,1,1
56,2017,Kevin Durant,True,1,1,1,2,1,3,2,2,2,4,1,6,5,1,2,1,3
57,2017,Stephen Curry,False,1,2,2,1,2,1,3,3,1,1,6,8,6,2,5,3,4
58,2017,Klay Thompson,False,1,3,3,3,4,4,4,4,5,5,5,4,7,3,7,2,5
59,2017,Draymond Green,False,1,4,4,4,3,2,1,1,3,2,3,7,8,4,8,5,6
60,2017,Andre Iguodala,False,1,5,5,5,6,4,5,5,4,3,2,5,3,5,4,4,8
61,2017,Shaun Livingston,False,1,6,6,7,5,6,8,7,6,6,6,1,3,6,3,7,1
62,2017,David West,False,1,7,7,7,8,6,6,6,7,8,3,2,2,7,1,7,7
63,2017,Ian Clark,False,8,8,8,6,6,8,7,8,7,6,6,2,1,8,6,6,1
64,2016,LeBron James,True,1,1,1,3,1,2,1,1,1,1,1,8,4,1,3,2,4
65,2016,Kyrie Irving,False,1,2,2,2,1,4,5,5,2,2,3,7,6,2,4,1,2
66,2016,J.R. Smith,False,1,3,4,1,6,7,6,6,3,3,4,3,8,3,5,3,6
67,2016,Tristan Thompson,False,1,4,3,8,3,1,2,2,6,6,2,1,7,4,1,8,8
68,2016,Kevin Love,False,7,6,5,4,4,4,3,3,4,5,4,6,3,5,6,5,5
69,2016,Richard Jefferson,False,1,5,6,6,5,3,4,4,7,4,7,5,4,6,2,6,7
70,2016,Iman Shumpert,False,1,7,7,5,8,6,7,7,8,7,4,4,2,7,7,4,1
71,2016,Matthew Dellavedova,False,7,8,8,6,7,7,8,8,5,8,8,1,1,8,8,6,3
72,2015,Stephen Curry,False,1,1,1,1,2,5,3,4,1,2,7,8,4,1,5,4,3
73,2015,Andre Iguodala,True,1,3,2,2,4,4,2,2,3,3,5,5,6,2,1,3,8
74,2015,Klay Thompson,False,1,2,3,3,3,7,4,5,5,5,2,4,7,3,6,5,2
75,2015,Draymond Green,False,1,3,4,5,1,2,1,1,2,1,1,7,8,4,7,6,6
76,2015,Harrison Barnes,False,1,5,5,4,6,1,5,2,6,4,3,1,5,5,8,2,4
77,2015,Leandro Barbosa,False,1,7,6,6,8,7,8,8,7,5,7,1,1,6,4,1,1
78,2015,Shaun Livingston,False,1,6,6,7,7,5,6,6,4,7,5,5,3,7,2,7,5
79,2015,Festus Ezeli,False,8,8,8,7,5,3,7,7,8,8,3,1,2,8,3,7,7
80,2014,Tony Parker,False,1,1,1,5,3,7,8,8,2,4,7,6,3,1,7,4,4
81,2014,Kawhi Leonard,True,1,3,2,2,2,3,3,3,4,2,1,5,8,2,2,1,2
82,2014,Tim Duncan,False,1,4,3,7,1,1,1,1,4,7,2,7,5,3,3,7,6
83,2014,Manu GinÃ³bili,False,1,5,4,3,4,7,4,5,3,3,5,7,7,4,6,4,1
