,Year,Team,MVP,Player,mvp,prob_mvp,Rank,Correct,logo_url
0,2024,Boston Celtics,Jaylen Brown,Jayson Tatum,False,0.86,1,False,https://cdn.ssref.net/req/202407241/tlogo/bbr/BOS-2024.png
1,2023,Denver Nuggets,Nikola Jokic,Nikola Jokic,True,0.72,1,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/DEN-2023.png
2,2023,Denver Nuggets,Nikola Jokic,Jamal Murray,False,0.64,2,False,https://cdn.ssref.net/req/202407241/tlogo/bbr/DEN-2023.png
3,2022,Golden State Warriors,Stephen Curry,Stephen Curry,True,0.85,1,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/GSW-2022.png
4,2021,Milwaukee Bucks,Giannis Antetokounmpo,Giannis Antetokounmpo,True,0.87,2,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/MIL-2021.png
5,2021,Milwaukee Bucks,Giannis Antetokounmpo,Khris Middleton,False,0.89,1,False,https://cdn.ssref.net/req/202407241/tlogo/bbr/MIL-2021.png
6,2020,Los Angeles Lakers,LeBron James,LeBron James,True,0.99,1,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/LAL-2020.png
7,2020,Los Angeles Lakers,LeBron James,Anthony Davis,False,0.91,2,False,https://cdn.ssref.net/req/202407241/tlogo/bbr/LAL-2020.png
8,2019,Toronto Raptors,Kawhi Leonard,Kawhi Leonard,True,0.76,1,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/TOR-2019.png
9,2019,Toronto Raptors,Kawhi Leonard,Pascal Siakam,False,0.69,2,False,https://cdn.ssref.net/req/202407241/tlogo/bbr/TOR-2019.png
10,2018,Golden State Warriors,Kevin Durant,Kevin Durant,True,0.91,1,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/GSW-2018.png
11,2017,Golden State Warriors,Kevin Durant,Kevin Durant,True,0.99,1,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/GSW-2017.png
12,2017,Golden State Warriors,Kevin Durant,Stephen Curry,False,0.55,2,False,https://cdn.ssref.net/req/202407241/tlogo/bbr/GSW-2017.png
13,2016,Cleveland Cavaliers,LeBron James,LeBron James,True,0.97,1,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/CLE-2016.png
14,2015,Golden State Warriors,Andre Iguodala,Stephen Curry,False,0.92,1,False,https://cdn.ssref.net/req/202407241/tlogo/bbr/GSW-2015.png
15,2015,Golden State Warriors,Andre Iguodala,Andre Iguodala,True,0.78,2,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/GSW-2015.png
16,2014,San Antonio Spurs,Kawhi Leonard,Kawhi Leonard,True,0.83,1,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/SAS-2014.png
17,2013,Miami Heat,LeBron James,LeBron James,True,0.96,1,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/MIA-2013.png
18,2012,Miami Heat,LeBron James,LeBron James,True,0.98,1,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/MIA-2012.png
19,2011,Dallas Mavericks,Dirk Nowitzki,Dirk Nowitzki,True,0.52,1,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/DAL-2011.png
20,2010,Los Angeles Lakers,Kobe Bryant,Kobe Bryant,True,0.89,2,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/LAL-2010.png
21,2010,Los Angeles Lakers,Kobe Bryant,Pau Gasol,False,0.9,1,False,https://cdn.ssref.net/req/202407241/tlogo/bbr/LAL-2010.png
22,2009,Los Angeles Lakers,Kobe Bryant,Pau Gasol,False,0.9,1,False,https://cdn.ssref.net/req/202407241/tlogo/bbr/LAL-2009.png
23,2008,Boston Celtics,Paul Pierce,Paul Pierce,True,0.74,1,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/BOS-2008.png
24,2008,Boston Celtics,Paul Pierce,Ray Allen,False,0.72,2,False,https://cdn.ssref.net/req/202407241/tlogo/bbr/BOS-2008.png
25,2007,San Antonio Spurs,Tony Parker,Tony Parker,True,0.7,1,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/SAS-2007.png
26,2006,Miami Heat,Dwyane Wade,Dwyane Wade,True,0.99,1,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/MIA-2006.png
27,2005,San Antonio Spurs,Tim Duncan,Manu GinÃ³bili,False,0.97,1,False,https://cdn.ssref.net/req/202407241/tlogo/bbr/SAS-2005.png
28,2004,Detroit Pistons,Chauncey Billups,Richard Hamilton,False,0.92,2,False,https://cdn.ssref.net/req/202407241/tlogo/bbr/DET-2004.png
29,2004,Detroit Pistons,Chauncey Billups,Chauncey Billups,True,0.96,1,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/DET-2004.png
30,2003,San Antonio Spurs,Tim Duncan,Tim Duncan,True,0.91,1,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/SAS-2003.png
