,Player,Age,mvp,G!,MP!,FG!,3P!,FT!,ORB!,DRB!,TRB!,AST!,STL!,BLK!,TOV!,PF!,PTS!,FG%!,3P%!,FT%!
0,Jayson Tatum,25,False,1,1,1,3,1,5,1,1,1,4,4,8,5,1,7,5,4
1,Jaylen Brown,27,True,1,2,2,4,2,5,4,4,2,1,3,7,8,2,5,6,6
2,Jrue Holiday,33,False,1,3,3,4,5,1,3,2,3,5,4,6,7,3,2,3,1
3,Derrick White,29,False,1,4,4,1,3,2,5,5,4,2,1,5,5,4,6,4,1
4,Sam Hauser,26,False,1,6,5,2,6,3,7,6,7,6,7,1,3,5,4,1,1
5,Kristaps Porzingis,28,False,8,8,5,8,4,8,6,7,8,8,1,2,1,6,1,7,5
6,Al Horford,37,False,1,5,7,4,7,3,2,3,4,2,4,3,4,7,3,2,7
7,Payton Pritchard,26,False,1,7,8,7,8,7,8,8,6,6,7,3,2,8,8,8,8
8,Nikola Jokic,27,True,1,2,1,2,1,1,1,1,2,5,1,7,8,1,4,3,3
9,Jamal Murray,25,False,1,1,2,1,2,4,4,4,1,2,7,7,5,2,6,4,2
10,Aaron Gordon,27,False,1,3,3,4,5,1,3,3,3,5,4,3,7,3,3,2,8
11,Bruce Brown,26,False,1,6,4,3,4,4,5,5,6,2,3,6,4,4,5,5,6
12,Michael Porter Jr.,24,False,1,5,5,6,6,3,2,2,7,8,5,1,1,5,8,7,5
13,Kentavious Caldwell-Pope,29,False,1,4,7,4,3,6,6,6,4,1,2,5,6,6,7,6,4
14,Christian Braun,21,False,1,7,6,8,8,6,7,7,5,2,5,3,1,7,2,8,7
15,Jeff Green,36,False,1,8,8,7,6,8,8,8,8,7,7,1,1,8,1,1,1
16,Stephen Curry,33,True,1,3,1,1,1,5,2,4,2,1,6,7,7,1,4,2,5
17,Andrew Wiggins,26,False,1,1,2,4,4,3,1,1,4,3,1,5,3,2,5,5,7
18,Klay Thompson,31,False,1,2,3,2,2,5,5,5,5,4,4,3,3,3,7,4,1
19,Jordan Poole,22,False,1,6,4,3,2,8,7,8,6,8,6,6,2,4,6,3,4
20,Draymond Green,31,False,1,4,5,6,5,2,2,2,1,2,3,7,8,5,8,7,8
21,Gary Payton II,29,False,8,8,7,6,5,4,6,6,7,4,5,1,3,6,2,6,6
22,Otto Porter Jr.,28,False,1,7,8,5,7,5,7,7,8,6,6,1,1,7,3,1,1
23,Kevon Looney,25,False,1,5,5,8,7,1,4,3,3,7,2,4,6,8,1,8,1
24,Giannis Antetokounmpo,26,True,1,3,1,7,1,1,1,1,3,3,1,7,7,1,1,8,5
25,Khris Middleton,29,False,1,1,2,1,2,7,2,2,2,2,5,8,5,2,5,4,3
26,Jrue Holiday,30,False,1,2,3,3,3,6,3,3,1,1,2,6,3,3,7,6,2
27,Brook Lopez,32,False,1,6,4,5,4,3,5,5,6,5,2,5,4,4,3,7,4
28,Pat Connaughton,28,False,1,5,5,2,6,4,4,4,4,7,5,4,5,5,4,2,6
29,Bobby Portis,25,False,1,7,6,4,5,4,6,6,6,5,4,1,2,6,6,3,1
30,P.J. Tucker,35,False,1,4,7,6,7,2,7,7,4,4,5,3,8,7,2,1,7
31,Bryn Forbes,27,False,8,8,8,7,7,8,8,8,8,7,5,1,1,8,8,5,7
32,LeBron James,35,True,1,1,1,1,2,2,1,1,1,2,3,8,4,1,1,2,8
33,Anthony Davis,26,False,1,2,2,6,1,1,2,2,3,1,1,7,8,2,2,1,2
34,Kentavious Caldwell-Pope,26,False,1,3,3,2,3,7,5,5,5,3,4,1,6,3,5,7,4
35,Rajon Rondo,33,False,1,4,4,7,5,4,3,3,2,3,7,6,1,4,4,5,3
36,Kyle Kuzma,24,False,1,7,5,5,4,4,7,5,8,7,4,4,5,5,7,6,6
37,Danny Green,32,False,1,6,6,4,8,7,5,5,6,3,2,2,1,6,8,8,1
38,Markieff Morris,30,False,1,8,7,3,7,6,4,4,6,8,7,3,6,6,6,3,5
39,Alex Caruso,25,False,1,5,8,8,6,3,8,8,4,6,4,5,1,8,3,4,7
40,Kawhi Leonard,27,True,1,1,1,2,1,1,1,1,2,1,2,8,4,1,5,4,3
41,Pascal Siakam,24,False,1,2,1,6,3,2,3,2,3,6,3,6,2,2,2,7,7
42,Kyle Lowry,32,False,1,3,3,3,4,7,4,5,1,2,4,7,8,3,6,2,5
43,Fred VanVleet,24,False,1,4,4,1,5,6,7,7,5,3,7,2,3,4,4,1,4
44,Marc Gasol,34,False,1,5,6,5,2,5,2,3,4,6,6,3,7,5,3,6,2
45,Serge Ibaka,29,False,1,7,4,7,6,3,5,4,7,5,1,4,6,6,1,5,6
46,Danny Green,31,False,1,6,7,4,8,4,6,6,6,3,4,4,4,7,7,3,8
47,Norman Powell,25,False,1,8,8,8,7,8,8,8,8,8,7,1,1,8,8,8,1
48,Kevin Durant,29,True,1,1,1,3,1,5,1,1,2,3,1,7,6,1,5,4,4
49,Stephen Curry,29,False,1,3,2,1,2,4,2,2,3,2,4,8,5,2,8,3,1
50,Klay Thompson,27,False,1,4,3,2,3,8,4,4,5,5,7,5,6,3,7,2,5
51,Draymond Green,27,False,1,1,5,4,3,1,3,2,1,1,2,5,8,4,6,5,5
52,JaVale McGee,30,False,1,6,4,6,8,1,7,7,8,8,3,2,2,5,2,6,8
53,Shaun Livingston,32,False,1,5,6,6,3,6,5,6,4,6,8,2,4,6,1,6,1
54,Jordan Bell,23,False,1,7,7,6,6,1,6,5,5,6,5,1,1,7,3,6,7
55,Andre Iguodala,34,False,8,8,8,4,7,6,8,8,7,3,5,2,2,8,4,1,1
56,Kevin Durant,28,True,1,1,1,2,1,3,2,2,2,4,1,6,5,1,2,1,3
57,Stephen Curry,28,False,1,2,2,1,2,1,3,3,1,1,6,8,6,2,5,3,4
